Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
57,4,0,2,0,2,1,1,2,0,0,1,2,0,0,1,2,1,2,0,3,0,0,2,0,0, 
58,1,0,0,0,0,3,2,1,2,2,2,3,3,2,0,2,3,2,2,1,0,3,1,2,1, 
59,0,1,1,2,2,0,1,0,2,1,0,2,1,2,2,1,1,0,2,0,2,0,1,5,0, 
60,0,2,3,3,1,0,0,2,2,2,0,0,2,0,1,4,1,4,0,1,2,3,2,0,1, 
61,0,2,3,0,0,0,1,2,0,3,0,0,0,0,1,2,0,0,0,0,1,3,0,4,1, 
62,1,1,2,1,0,2,0,1,3,1,1,1,1,0,1,0,0,1,1,1,2,1,4,1,1, 
63,0,0,0,3,0,0,0,1,0,1,0,2,0,1,0,1,4,1,1,3,2,0,5,3,0, 
64,1,0,0,2,2,0,1,0,0,1,0,0,0,0,1,2,0,0,0,2,1,1,1,2,1, 
65,2,0,3,2,0,2,0,1,3,1,1,0,0,0,2,0,1,1,1,2,0,1,4,1,0, 
66,1,0,2,0,2,2,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,2,1,0,0, 
67,1,1,1,0,0,1,0,0,1,2,1,0,1,1,1,4,0,1,1,1,1,3,2,0,2, 
68,0,4,0,1,1,0,2,0,0,1,1,0,0,0,0,0,3,2,0,0,0,2,2,0,0, 
69,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,4,0,3,1,0,2,1,1, 
70,0,0,0,1,0,1,0,0,1,1,1,3,1,0,1,1,1,0,0,1,2,1,0,2,0, 
71,0,1,1,0,1,0,1,1,0,1,2,0,0,0,2,1,0,0,2,0,2,1,1,1,0, 
72,0,1,1,1,1,1,3,0,0,2,0,1,0,1,1,0,0,0,2,0,0,2,2,1,1, 
73,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1, 
74,1,1,1,0,1,2,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,5,0,1, 
75,0,0,1,1,1,0,0,1,1,0,1,1,0,3,0,0,1,2,1,1,0,1,1,1,1, 
76,0,2,0,1,0,0,1,1,0,0,2,1,1,0,1,0,0,1,4,1,1,0,3,1,1, 
77,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0, 
78,1,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,2,1, 
79,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3, 
80,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2, 
81,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1, 
82,1,0,0,1,0,0,0,3,0,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0, 
83,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0, 
84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, 
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0, 
86,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1, 
87,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0, 
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0, 
89,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 
90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
91,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1, 
92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0, 

